"pub_date","date_type","href","title","lan"
"30.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNDU=.html","Statistik zu den Elektrowärmepumpen in der Schweiz","DE"
"30.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxMzY=.html","Physikalische Einfuhr und Ausfuhr von Elektrizität der Schweiz nach Ländern","DE"
"30.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNDA=.html","Energieverbrauch in der Industrie und im Dienstleistungssektor","DE"
"28.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvOTM5Nw==.html","Formular A – Grundinformationen","DE"
"27.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxMzM=.html","Vertrag zwischen dem Eidgenössischen Departement für Umwelt, Verkehr, Energie und Kommunikation (UVEK) und Electrosuisse, Verband für Elektro-, Energie- und Informationstechnik","DE"
"26.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvOTQwMQ==.html","Luftfahrthindernis-Bewilligungen des BAZL","DE"
"26.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvOTQwMw==.html","Technische Beurteilungen von Vorprojekten","DE"
"21.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxMjc=.html","Erläuternder Bericht zur Revision vom Mai 2025 der Rohrleitungssicherheitsverordnung","DE"
"21.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxMjM=.html","Erläuternder Bericht zur Revision vom Mai 2025 der Energieeffizienzverordnung","DE"
"21.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxMjQ=.html","Verordnung über die Förderung der Produktion von Elektrizität aus erneuerbaren Energien (Energieförderungsverordnung, EnFV)","DE"
"21.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxMzI=.html","Erläuternder Bericht zur Revision vom Mai 2025 der Kernenergieverordnung","DE"
"21.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxMjY=.html","Verordnung über Sicherheitsvorschriften für Rohrleitungsanlagen (Rohrleitungssicherheitsverordnung, RLSV)","DE"
"21.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxMjU=.html","Erläuternder Bericht zur Revision vom Mai 2025 der Energieförderungsverordnung","DE"
"21.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxMjg=.html","Verordnung über Sicherheitsvorschriften für Rohrleitungsanlagen (Rohrleitungssicherheitsverordnung, RLSV)","DE"
"21.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxMjk=.html","Erläuternder Bericht zur Revision vom Mai 2025 der Rohrleitungsverordnung und der Rohrleitungssicherheitsverordnung","DE"
"21.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxMjI=.html","Verordnung über die Anforderungen an die Energieeffizienz serienmässig hergestellter Anlagen, Fahrzeuge und Geräte (Energieeffizienzverordnung, EnEV)","DE"
"21.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxMzE=.html","Kernenergieverordnung (KEV)","DE"
"21.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxMzA=.html","Verordnung über Rohrleitungsanlagen zur Beförderung flüssiger oder gasförmiger Brenn- oder Treibstoffe (Rohrleitungsverordnung, RLV)","DE"
"20.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvNjA3MA==.html","Vertretung bei IEA und OECD in für die Energieforschung relevanten Gremien","DE"
"20.05.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZW4vcHVibGljYX/Rpb24vZG93bmxvYWQvMTE2Nzc=.html","SWEET Call 1-2024: Questions and answers (Q&A)","EN"
